build,scope,origin,leader
g1.25,all_interm,IL,IN
g1.25,all_interm,IN,OH
g1.25,all_interm,KS,TX
g1.25,all_interm,KY,OH
g1.25,all_interm,LA,TX
g1.25,all_interm,MA,NY
g1.25,all_interm,MD,PA
g1.25,all_interm,ME,NY
g1.25,all_interm,MI,OH
g1.25,all_interm,MN,CA
g1.25,all_interm,MO,IL
g1.25,all_interm,MS,TX
g1.25,all_interm,MT,CA
g1.25,all_interm,NC,VA
g1.25,all_interm,ND,CA
g1.25,all_interm,NE,CA
g1.25,all_interm,NH,NY
g1.25,all_interm,NJ,NY
g1.25,all_interm,NM,CA
g1.25,all_interm,NV,CA
g1.25,all_interm,NY,MA
g1.25,all_interm,OH,MI
g1.25,all_interm,OK,TX
g1.25,all_interm,OR,CA
g1.25,all_interm,PA,NY
g1.25,all_interm,RI,MA
g1.25,all_interm,SC,NC
g1.25,all_interm,SD,CA
g1.25,all_interm,TN,GA
g1.25,all_interm,TX,CA
g1.25,all_interm,UT,CA
g1.25,all_interm,VA,NC
g1.25,all_interm,VT,NY
g1.25,all_interm,WA,CA
g1.25,all_interm,WI,IL
g1.25,all_interm,WV,OH
g1.25,all_interm,WY,CO
g1.5,goods,AK,CA
g1.5,goods,AL,FL
g1.5,goods,AR,TX
g1.5,goods,AZ,CA
g1.5,goods,CA,TX
g1.5,goods,CO,CA
g1.5,goods,CT,NY
g1.5,goods,DC,MD
g1.5,goods,DE,PA
g1.5,goods,FL,GA
g1.5,goods,GA,FL
g1.5,goods,HI,CA
g1.5,goods,IA,IL
g1.5,goods,ID,CA
g1.5,goods,IL,IN
g1.5,goods,IN,MI
g1.5,goods,KS,TX
g1.5,goods,KY,IN
g1.5,goods,LA,FL
g1.5,goods,MA,NY
g1.5,goods,MD,PA
g1.5,goods,ME,NY
g1.5,goods,MI,OH
g1.5,goods,MN,CA
g1.5,goods,MO,IL
g1.5,goods,MS,TX
g1.5,goods,MT,CA
g1.5,goods,NC,VA
g1.5,goods,ND,CA
g1.5,goods,NE,TX
g1.5,goods,NH,MA
g1.5,goods,NJ,NY
g1.5,goods,NM,CA
g1.5,goods,NV,CA
g1.5,goods,NY,MA
g1.5,goods,OH,MI
g1.5,goods,OK,TX
g1.5,goods,OR,CA
g1.5,goods,PA,NY
g1.5,goods,RI,MA
g1.5,goods,SC,NC
g1.5,goods,SD,CA
g1.5,goods,TN,TX
g1.5,goods,TX,CA
g1.5,goods,UT,CA
g1.5,goods,VA,NC
g1.5,goods,VT,NY
g1.5,goods,WA,CA
g1.5,goods,WI,MI
g1.5,goods,WV,OH
g1.5,goods,WY,CO
g1.5,all_interm,AK,CA
g1.5,all_interm,AL,FL
g1.5,all_interm,AR,TX
g1.5,all_interm,AZ,CA
g1.5,all_interm,CA,NV
g1.5,all_interm,CO,CA
g1.5,all_interm,CT,NY
g1.5,all_interm,DC,MD
g1.5,all_interm,DE,NY
g1.5,all_interm,FL,GA
g1.5,all_interm,GA,FL
g1.5,all_interm,HI,CA
g1.5,all_interm,IA,IL
g1.5,all_interm,ID,CA
g1.5,all_interm,IL,MO
g1.5,all_interm,IN,OH
g1.5,all_interm,KS,TX
g1.5,all_interm,KY,OH
g1.5,all_interm,LA,TX
g1.5,all_interm,MA,NY
g1.5,all_interm,MD,PA
g1.5,all_interm,ME,NY
g1.5,all_interm,MI,OH
g1.5,all_interm,MN,WI
g1.5,all_interm,MO,IL
g1.5,all_interm,MS,TX
g1.5,all_interm,MT,CA
g1.5,all_interm,NC,VA
g1.5,all_interm,ND,CA
g1.5,all_interm,NE,CA
g1.5,all_interm,NH,NY
g1.5,all_interm,NJ,NY
g1.5,all_interm,NM,CA
g1.5,all_interm,NV,CA
g1.5,all_interm,NY,MA
g1.5,all_interm,OH,MI
g1.5,all_interm,OK,TX
g1.5,all_interm,OR,CA
g1.5,all_interm,PA,NY
g1.5,all_interm,RI,MA
g1.5,all_interm,SC,NC
g1.5,all_interm,SD,CA
g1.5,all_interm,TN,GA
g1.5,all_interm,TX,CA
g1.5,all_interm,UT,CA
g1.5,all_interm,VA,NC
g1.5,all_interm,VT,NY
g1.5,all_interm,WA,CA
g1.5,all_interm,WI,IL
g1.5,all_interm,WV,OH
g1.5,all_interm,WY,CO
g2.0,goods,AK,CA
g2.0,goods,AL,FL
g2.0,goods,AR,TX
g2.0,goods,AZ,CA
g2.0,goods,CA,TX
g2.0,goods,CO,CA
g2.0,goods,CT,NY
g2.0,goods,DC,MD
g2.0,goods,DE,MD
g2.0,goods,FL,GA
g2.0,goods,GA,FL
g2.0,goods,HI,CA
g2.0,goods,IA,IL
g2.0,goods,ID,CA
g2.0,goods,IL,IN
g2.0,goods,IN,MI
g2.0,goods,KS,TX
g2.0,goods,KY,IN
g2.0,goods,LA,FL
g2.0,goods,MA,NY
g2.0,goods,MD,PA
g2.0,goods,ME,NY
g2.0,goods,MI,OH
g2.0,goods,MN,WI
g2.0,goods,MO,IL
g2.0,goods,MS,TX
g2.0,goods,MT,CA
g2.0,goods,NC,VA
g2.0,goods,ND,CA
g2.0,goods,NE,KS
g2.0,goods,NH,MA
g2.0,goods,NJ,NY
g2.0,goods,NM,CA
g2.0,goods,NV,CA
g2.0,goods,NY,MA
g2.0,goods,OH,MI
g2.0,goods,OK,TX
g2.0,goods,OR,CA
g2.0,goods,PA,NJ
g2.0,goods,RI,MA
g2.0,goods,SC,NC
g2.0,goods,SD,CA
g2.0,goods,TN,GA
g2.0,goods,TX,CA
g2.0,goods,UT,CA
g2.0,goods,VA,NC
g2.0,goods,VT,NY
g2.0,goods,WA,CA
g2.0,goods,WI,MI
g2.0,goods,WV,OH
g2.0,goods,WY,CO
g2.0,all_interm,AK,CA
g2.0,all_interm,AL,FL
g2.0,all_interm,AR,TX
g2.0,all_interm,AZ,CA
g2.0,all_interm,CA,NV
g2.0,all_interm,CO,CA
g2.0,all_interm,CT,NY
g2.0,all_interm,DC,MD
g2.0,all_interm,DE,MD
g2.0,all_interm,FL,GA
g2.0,all_interm,GA,FL
g2.0,all_interm,HI,CA
g2.0,all_interm,IA,IL
g2.0,all_interm,ID,CA
g2.0,all_interm,IL,MO
g2.0,all_interm,IN,OH
g2.0,all_interm,KS,TX
g2.0,all_interm,KY,OH
g2.0,all_interm,LA,TX
g2.0,all_interm,MA,NY
g2.0,all_interm,MD,DC
g2.0,all_interm,ME,NY
g2.0,all_interm,MI,OH
g2.0,all_interm,MN,WI
g2.0,all_interm,MO,IL
g2.0,all_interm,MS,TX
g2.0,all_interm,MT,CA
g2.0,all_interm,NC,VA
g2.0,all_interm,ND,CA
g2.0,all_interm,NE,KS
g2.0,all_interm,NH,NY
g2.0,all_interm,NJ,NY
g2.0,all_interm,NM,CA
g2.0,all_interm,NV,CA
g2.0,all_interm,NY,MA
g2.0,all_interm,OH,MI
g2.0,all_interm,OK,TX
g2.0,all_interm,OR,WA
g2.0,all_interm,PA,NY
g2.0,all_interm,RI,MA
g2.0,all_interm,SC,NC
g2.0,all_interm,SD,CA
g2.0,all_interm,TN,GA
g2.0,all_interm,TX,CA
g2.0,all_interm,UT,CA
g2.0,all_interm,VA,NC
g2.0,all_interm,VT,NY
g2.0,all_interm,WA,CA
g2.0,all_interm,WI,IL
g2.0,all_interm,WV,OH
g2.0,all_interm,WY,CO
